test_name,frac_less_than_random,avg_rel_improve_geq_random,std_rel_improve_geq_random,avg_rel_improve,std_rel_improve
all,0.5181632653061224,0.8865221632767584,0.9213588077734041,-0.7387274265496827,3.0178141402393517
LinSVC-MP,0.6371428571428571,0.3987105013218162,0.4356774490867754,-1.4778653160802195,3.5251437140455435
LinSVC-USE,0.6157142857142858,0.45899846282094686,0.48648316802962394,-0.6393150613972949,1.8506018068081982
LinSVC-WV,0.6171428571428571,0.6989369927767597,0.5981249468667136,-1.895578664967715,3.9390243030497145
RF-MP,0.6014285714285714,0.5955228213990305,0.5472106853964419,-1.2440940447617335,3.5890815309589184
RF-USE,0.6057142857142858,0.7134868172765544,0.6928854726566657,-0.6293511935546307,1.850810942358248
RF-WV,0.47285714285714286,1.307442693450744,1.0147852505934778,-0.29870343023027535,2.6258386164988847
RoBERTa,0.07714285714285714,1.2933453203958138,1.165314369727223,1.01381572514409,1.9375763577418157
cal,0.5559183673469388,0.810779348288271,0.862862573148385,-1.0696196174484052,3.2305799462791147
dal,0.7012244897959183,0.8207523346467008,0.9397430991357074,-1.289905311090358,3.2176852135503595
margin,0.38448979591836735,0.9710342402903537,0.8809366658469112,-0.2533963445978363,2.7790625169468934
real,0.4310204081632653,0.8887513491649752,0.9882940865639386,-0.34198843306213145,2.6663159140933144
