test_name,test_type,alternative,wcx_stat,pval
all,nr_vs_r,less,90733.0,2.2789989233063474e-09
LinSVC-MP,nr_vs_r,less,902.0,1.1998219998535877e-08
LinSVC-USE,nr_vs_r,less,869.0,6.209730622082067e-09
LinSVC-WV,nr_vs_r,less,695.0,1.5656502557040578e-10
RF-MP,nr_vs_r,less,1499.0,0.00020957662070311144
RF-USE,nr_vs_r,less,1410.0,6.310677326493403e-05
RF-WV,nr_vs_r,less,2390.0,0.3212615960543709
RoBERTa,nr_vs_r,less,4579.0,0.9999999999999883
cal,nr_vs_r,less,86094.0,8.307262668882409e-12
dal,nr_vs_r,less,58331.0,3.544825821094187e-33
margin,nr_vs_r,less,138639.0,0.9991165561586902
real,nr_vs_r,less,127328.0,0.842402111104265
